artist,genres
.38 Special,"hard rock,southern rock,boogie rock,blues rock"
10 Years,"alternative metal,progressive metal,post-grunge,nu & nbsp, metal"
10cc,"art rock,art pop,progressive pop,soft rock ,pop rock"
3 Doors Down,"alternative rock, post-grunge"
311,"alternative rock, funk metal, funk rock, rap rock, reggae rock"
A Perfect Circle,"alternative metal, alternative rock, art rock, hard rock"
ABBA,"disco, europop, pop, pop rock"
AC/DC,"blues rock, hard rock, heavy metal, rock and roll"
AFI,"emo, gothic rock, hardcore punk, horror punk, post-hardcore, punk rock"
Accept,heavy metal
Adam Ant,"alternative rock, dance-rock, new wave, post-punk"
Aerosmith,"blues rock, hard rock, heavy metal"
Air Supply,"soft rock,pop rock,pop,adult contemporary,middle-of-the-road"
Alanis_Morissette,"alternative rock, electronic, grunge, indie pop, pop rock, post-grunge, trip hop"
Alice Cooper,"hard rock,glam rock,shock rock,psychedelic rock"
Alice in Chains,"alternative metal, alternative rock, grunge, heavy metal, sludge metal"
Alice_Cooper,"hard rock,shock rock,glam rock,heavy metal"
Alter Bridge,"alternative metal, alternative rock, hard rock, heavy metal, post-grunge, progressive metal"
Ambrosia,"blue-eyed soul, jazz fusion, progressive rock, soft rock"
America,"soft rock,folk rock,pop rock,country rock"
Anthrax,"alternative metal, groove metal, speed metal, thrash metal"
April Wine,hard rock
Arcade Fire,"indie rock,art rock,dance-rock,baroque pop"
Arctic Monkeys,"alternative rock, garage rock, indie rock, lounge pop, post-punk revival, psychedelic rock"
Asia,"progressive rock,aor,pop rock"
Audioslave,"alternative metal, alternative rock, hard rock, post-grunge"
Avenged Sevenfold,"alternative metal, hard rock, heavy metal, metalcore, progressive metal"
Avril_Lavigne,"alternative rock, pop, pop rock, pop-punk"
Awolnation,"alternative rock, dance-rock, electronic rock, electropop, indie rock, pop rock"
Bachman-Turner Overdrive,"rock,hard rock,boogie rock"
Bad Company,"blues rock, hard rock"
Badfinger,"power pop, rock"
Barenaked Ladies,"alternative pop, comedy rock, folk rock, pop rock"
Bay City Rollers,"pop,glam rock,pop rock"
Beastie Boys,"alternative hip-hop, hardcore punk, hip hop, rap rock"
Beck,"alt-country, alternative rock, electronic, folk rock, lo-fi, psychedelia"
