source,target
38_Special_(band),Lynyrd_Skynyrd
38_Special_(band),Journey_(band)
38_Special_(band),The_Who
38_Special_(band),The_Rolling_Stones
38_Special_(band),Peter_Frampton
38_Special_(band),Kiss_(band)
38_Special_(band),Survivor_(band)
38_Special_(band),Bryan_Adams
38_Special_(band),Huey_Lewis_and_the_News
38_Special_(band),Bon_Jovi
38_Special_(band),Jefferson_Starship
38_Special_(band),The_Cars
38_Special_(band),Billy_Joel
38_Special_(band),Ted_Nugent
38_Special_(band),REO_Speedwagon
38_Special_(band),Styx_(band)
10_Years_(band),Disturbed_(band)
10_Years_(band),Breaking_Benjamin
10_Years_(band),Mudvayne
10_Years_(band),Korn
10_Years_(band),Deftones
10_Years_(band),Stone_Temple_Pilots
10_Years_(band),Thousand_Foot_Krutch
10_Years_(band),Linkin_Park
10_Years_(band),Shinedown
10_Years_(band),Puddle_of_Mudd
10cc,The_Yardbirds
10cc,Simon_&_Garfunkel
10cc,The_Hollies
10cc,Herman's_Hermits
10cc,The_Beatles
10cc,The_Moody_Blues
10cc,Frank_Zappa
10cc,Queen_(band)
10cc,Roxy_Music
10cc,George_Harrison
10cc,Asia_(band)
10cc,The_Police
10cc,Duran_Duran
10cc,Peter_Gabriel
10cc,The_Clash
10cc,Jethro_Tull_(band)
10cc,Ramones
10cc,Paul_McCartney
10cc,Ringo_Starr
10cc,ABBA
10cc,Steely_Dan
10cc,Toto_(band)
10cc,Electric_Light_Orchestra
3_Doors_Down,Rush_(band)
3_Doors_Down,Lynyrd_Skynyrd
3_Doors_Down,Nickelback
3_Doors_Down,Bob_Seger
3_Doors_Down,Puddle_of_Mudd
3_Doors_Down,ZZ_Top
3_Doors_Down,Daughtry_(band)
3_Doors_Down,Shinedown
3_Doors_Down,Alter_Bridge
3_Doors_Down,Staind
3_Doors_Down,Hinder
3_Doors_Down,Kiss_(band)
311_(band),Yes_(band)
311_(band),"Emerson,_Lake_&_Palmer"
311_(band),The_Cure
311_(band),Papa_Roach
311_(band),The_Offspring
311_(band),Sublime_with_Rome
311_(band),Incubus_(band)
311_(band),Pink_Floyd
311_(band),The_Rolling_Stones
311_(band),Asia_(band)
311_(band),John_Lennon
311_(band),Billy_Joel
311_(band),Deftones
311_(band),The_Clash
311_(band),Red_Hot_Chili_Peppers
311_(band),Led_Zeppelin
311_(band),Jane's_Addiction
311_(band),Faith_No_More
A_Perfect_Circle,Tool_(band)
A_Perfect_Circle,Nine_Inch_Nails
A_Perfect_Circle,The_Smashing_Pumpkins
A_Perfect_Circle,Primus_(band)
A_Perfect_Circle,Guns_N'_Roses
A_Perfect_Circle,Queens_of_the_Stone_Age
A_Perfect_Circle,Marilyn_Manson_(band)
A_Perfect_Circle,Deftones
A_Perfect_Circle,System_of_a_Down
A_Perfect_Circle,Rage_Against_the_Machine
A_Perfect_Circle,Led_Zeppelin
A_Perfect_Circle,John_Lennon
A_Perfect_Circle,Queen_(band)
A_Perfect_Circle,Weezer
A_Perfect_Circle,Foo_Fighters
A_Perfect_Circle,Adam_Ant
A_Perfect_Circle,Ozzy_Osbourne
A_Perfect_Circle,The_Cure
ABBA,The_Beatles
ABBA,The_Sweet
ABBA,Genesis_(band)
ABBA,Led_Zeppelin
ABBA,Scorpions_(band)
ABBA,U2
ABBA,Robert_Plant
ABBA,Queen_(band)
ABBA,Iron_Maiden
ABBA,Bee_Gees
AC/DC,Guns_N'_Roses
AC/DC,The_Velvet_Underground
AC/DC,The_Rolling_Stones
AC/DC,Chuck_Berry
AC/DC,The_Beatles
AC/DC,Lou_Reed
AC/DC,Deep_Purple
AC/DC,Black_Sabbath
AC/DC,Ozzy_Osbourne
AC/DC,Ted_Nugent
AC/DC,Aerosmith
AC/DC,Kiss_(band)
AC/DC,Styx_(band)
AC/DC,Blue_Öyster_Cult
AC/DC,Cheap_Trick
AC/DC,Slade
AC/DC,Dio_(band)
AC/DC,Thin_Lizzy
AC/DC,Bon_Jovi
AC/DC,Rush_(band)
AC/DC,Alice_Cooper
AC/DC,Jane's_Addiction
AC/DC,The_Pretty_Reckless
AC/DC,Robert_Plant
AC/DC,Rage_Against_the_Machine
AC/DC,Audioslave
AC/DC,Def_Leppard
AC/DC,Scorpions_(band)
AC/DC,Judas_Priest
